loss,masked_accuracy,val_loss,val_masked_accuracy,
0,3.156137,0.222905,2.715069,0.289256
1,2.622812,0.316454,2.434111,0.380865
2,2.186217,0.466355,1.936322,0.560272
3,1.674044,0.654178,1.478052,0.730365
4,1.347297,0.777888,1.276151,0.80455
5,1.196418,0.834205,1.185618,0.8372
6,1.110231,0.866054,1.128846,0.859349
7,1.05419,0.886294,1.077135,0.876753
8,1.015077,0.900308,1.04904,0.886106
9,0.983161,0.911834,1.014081,0.89896
10,0.958597,0.920565,1.006078,0.903043
11,0.934524,0.928726,0.979669,0.91298
12,0.90792,0.937838,0.959224,0.917414
13,0.880821,0.947188,0.931599,0.927953
14,0.856333,0.955787,0.906673,0.936704
15,0.836094,0.962726,0.892204,0.942966
16,0.821065,0.967863,0.889665,0.942421
17,0.809256,0.971568,0.871032,0.948294
18,0.800525,0.97433,0.861148,0.951852
19,0.792122,0.976998,0.856694,0.953388
20,0.786586,0.978604,0.848322,0.954886
21,0.783157,0.979449,0.851377,0.955119
22,0.776592,0.981371,0.843717,0.957375
23,0.773209,0.98242,0.845455,0.956461
24,0.768147,0.983982,0.841954,0.957919
25,0.767046,0.984084,0.838073,0.958172
26,0.762112,0.985505,0.838432,0.95825
27,0.759565,0.986396,0.83448,0.959397
28,0.756259,0.98743,0.836253,0.959767
29,0.75288,0.988498,0.834253,0.960486
30,0.749439,0.98962,0.834174,0.959961
31,0.750761,0.98895,0.836342,0.959494
32,0.746238,0.99043,0.829893,0.962159
33,0.7442,0.991046,0.832215,0.961614
34,0.743833,0.99108,0.831476,0.961945
35,0.741615,0.991648,0.833838,0.960875
36,0.739424,0.992497,0.832311,0.96175
37,0.738082,0.992783,0.826622,0.963481
38,0.736557,0.993263,0.82757,0.962645
39,0.737953,0.992626,0.830842,0.961147
40,0.734539,0.993768,0.830264,0.96177
41,0.733186,0.994143,0.826282,0.963714
42,0.734258,0.993666,0.833814,0.960467
43,0.732433,0.994232,0.824935,0.964725
44,0.728947,0.995433,0.82464,0.964589
45,0.729508,0.995159,0.827204,0.96352
46,0.727787,0.995747,0.820775,0.965484
47,0.729205,0.995157,0.827319,0.963345
48,0.728043,0.995459,0.830499,0.961828
49,0.726678,0.995868,0.82148,0.965075
